CIF Number,CustName,Address,Mobile,MartialStatus,Dependents,CustType,BirthDay,Sex,Organization,Job,Experience,Salary,Existing time,Credit Score
3795,Bùi Tuấn Khoan,"Thới Tứ, Hóc Môn, TP.HCM",+84351096957,Single,No,Organization,1980-09-20,Male,NFQ Asia,Data Engineer,3,35901000,9,439
3796,Vũ Mạnh Trường,"Bình Tây, Quận 6, TP.HCM",+842922404415,Married,Yes,Organization,1992-11-09,Male,Home Credit Vietnam,Business Intelligence AnalystData Scientist,7,42594000,2,351
3797,Lê Song Lam,"Phan Phú Tiên, Quận 5, TP.HCM",+842963452108,Single,Yes,Organization,1954-05-13,Male,Absolute Software (Vietnam) Ltd,Tech Lead,2,18584000,7,791
3798,Lê Quang Xuân,"Tô Hiến Thành, Quận 10, TP.HCM",+84918545950,Single,Yes,Individual,1989-12-30,Male,N/A,IT Support,9,54061000,7,677
3799,Phạm Quốc Hưng,"Đường số 4, Quận 9, TP.HCM",+84841370330,Married,Yes,Organization,1992-01-16,Male,Zuhlke Engineering Vietnam,Full-stack Developer,0,3370000,2,660
3800,Đặng Kim Hoàng,"Đường số 16, Quận 3, TP.HCM",+84991591253,Married,Yes,Organization,2002-06-27,Male,Absolute Software (Vietnam) Ltd,Product Owner,0,4644000,8,365
3801,Dương Quang Ninh,"Ấp Bắc, Quận Tân Bình, TP.HCM",+84522768050,Married,Yes,Organization,1970-05-06,Male,"Niteco Vietnam Co., Ltd",Project Leader,8,67864000,2,549
3802,Võ Ngọc Cảnh,"Lê Quang Định, Quận Bình Thạnh, TP.HCM",+84901274432,Married,Yes,Organization,1958-05-27,Male,NAB Innovation Centre Vietnam,Tester,7,60401000,1,347
3803,Đoàn Phước Nhân,"Nguyễn Oanh, Quận Gò Vấp, TP.HCM",+84559277473,Married,Yes,Organization,1983-02-28,Male,FPT IS,DevSecOps Engineer,10,51964000,2,316
3804,Ngô Liên Hương,"Châu Thới, Quận 10, TP.HCM",+842607727277,Single,Yes,Individual,1962-02-24,Female,N/A,Tech Lead,0,3577000,7,365
3805,Bùi Việt Yến,"Nguyễn Thị Nhỏ, Quận 6, TP.HCM",+842975258898,Married,Yes,Individual,1987-02-20,Female,N/A,Back-end Developer,6,41739000,6,583
3806,Lý Hảo Nhi,"Tổ 1, Quận 9, TP.HCM",+842905899363,Married,Yes,Organization,1960-04-26,Female,Home Credit Vietnam,IT Support,1,14782000,6,487
3807,Võ Mỹ Hạnh,"Đường số 37, Thành phố Thủ Đức, TP.HCM",+842996089342,Single,Yes,Individual,1979-08-02,Female,N/A,Full-stack Developer,6,54304000,8,563
3808,Vũ Tuyết Xuân,"Đường Số 21D, Quận Bình Tân, TP.HCM",+84559711368,Single,Yes,Organization,1988-04-18,Female,Trusting Social,ERP Engineer,4,28173000,0,643
3809,Đỗ Bích Như,"Lê Hoàng Phái, Quận Bình Thạnh, TP.HCM",+84999823411,Single,No,Organization,1970-01-10,Female,FPT IS,AI Engineer,9,43975000,5,650
3810,Hoàng Phương Nhi,"Bến Chương Dương, Quận 1, TP.HCM",+842948008926,Single,Yes,Individual,1982-08-17,Female,N/A,Full-stack Developer,9,52369000,7,354
3811,Hồ Hiếu Học,"Lê Đại Hành, Quận 11, TP.HCM",+84867809435,Single,No,Organization,1993-12-29,Male,GeoComply (GeoTech Hub Vietnam),ERP Engineer,6,62784000,5,314
3812,Nguyễn Duy Minh,"Tân Chánh Hiệp 33, Quận 12, TP.HCM",+84795805953,Married,Yes,Organization,1982-09-26,Male,GeoComply (GeoTech Hub Vietnam),Blockchain Engineer,10,59018000,9,665
3813,Trần Thiên Trí,"Thiên Hộ Dương, Quận Gò Vấp, TP.HCM",+84997754518,Married,Yes,Organization,1990-04-21,Male,Home Credit Vietnam,System Engineer,10,52007000,2,503
3814,Phạm Thu Việt,"Lê Tư Tài, Quận Phú Nhuận, TP.HCM",+84826881259,Single,Yes,Individual,1961-10-08,Female,N/A,Business Intelligence AnalystData Scientist,3,29814000,5,529
3815,Trần Thượng Liệt,"Ngô Văn Năm, Quận 1, TP.HCM",+842720597841,Married,Yes,Individual,1956-10-02,Male,N/A,Helpdesk,6,52062000,6,500
3816,Hoàng Thanh Thư,"Bàu Lách, Huyện Củ Chi, TP.HCM",+842968169988,Single,No,Organization,1982-05-29,Female,FPT IS,Cloud Engineer,5,57056000,9,554
3817,Phan Ðinh Hương,"Tôn Thất Thiệp, Quận 1, TP.HCM",+842916183674,Single,No,Individual,1972-03-08,Female,N/A,Blockchain Engineer,1,10414000,1,480
3818,Huỳnh Thanh Vy,"Đường số 25, Quận Gò Vấp, TP.HCM",+84996584809,Married,Yes,Individual,1978-10-05,Female,N/A,DevSecOps Engineer,7,68520000,4,816
3819,Lê Duy Kính,"Đoàn Nhữ Hài, Quận 4, TP.HCM",+842932605748,Married,Yes,Organization,1955-10-17,Male,Home Credit Vietnam,Project Manager,10,61516000,6,726
3820,Phạm Mỹ Hoàn,"Đỗ Công Tường, Quận Tân Phú, TP.HCM",+842560670781,Single,Yes,Individual,1992-10-22,Female,N/A,Full-stack Developer,7,55585000,1,591
3821,Đoàn Thiên Thư,"Đào Trí, Quận 7, TP.HCM",+842979772215,Single,Yes,Individual,1981-05-30,Female,N/A,Project Manager,6,45777000,10,460
3822,Nguyễn Hoàng Nam,"Đường Số 318, Quận 8, TP.HCM",+84559776928,Single,No,Organization,1984-10-05,Male,VNG Corporation,Back-end Developer,9,56310000,5,398
3823,Hoàng Thái Lan,"Đường D2, Quận 2, TP.HCM",+84591973906,Single,No,Individual,1971-07-04,Female,N/A,Back-end Developer,9,62576000,7,680
3824,Lê Tuyết Hương,"Liên Xã Thới Tam Thôn - Đông Thạnh, Hóc Môn, TP.HCM",+842919541506,Married,Yes,Individual,1960-09-19,Female,N/A,Helpdesk,0,3116000,8,541
3825,Huỳnh Ðức Tường,"Quốc Lộ 13, Quận Bình Thạnh, TP.HCM",+842696480693,Married,Yes,Organization,1975-05-18,Male,Employment Hero,Data Engineer,10,55276000,1,406
3826,Nguyễn Danh Thành,"Bùi Thị Xuân, Quận 1, TP.HCM",+842960719761,Married,Yes,Organization,1977-06-22,Male,Absolute Software (Vietnam) Ltd,Business Intelligence AnalystData Scientist,3,28675000,9,521
3827,Phan Vân Thanh,"Lê Duẩn, Quận 1, TP.HCM",+842992214453,Married,Yes,Organization,2001-11-03,Female,Absolute Software (Vietnam) Ltd,DevOps,3,27062000,8,324
3828,Đỗ Minh Quân,"Thiên Phước, Quận 10, TP.HCM",+842964757558,Married,Yes,Individual,1985-05-22,Male,N/A,Product Manager,3,21029000,5,491
3829,Trần Phú Hải,"Đường số 2, Quận 4, TP.HCM",+842778042835,Married,Yes,Individual,1973-05-29,Male,N/A,Product Manager,3,21536000,0,441
3830,Võ Hùng Phong,"Nguyễn Lâm, Quận 10, TP.HCM",+84999281733,Married,Yes,Individual,1983-09-13,Male,N/A,Game Developer,8,52490000,7,307
3831,Đỗ Hồng Nhạn,"Trần Hưng Đạo, Quận 9, TP.HCM",+84993860151,Single,Yes,Individual,2000-06-17,Female,N/A,Tester,5,40934000,7,788
3832,Nguyễn Uyên Vi,"Phù Đổng Thiên Vương, Quận 5, TP.HCM",+84819964532,Married,Yes,Organization,1976-01-07,Female,SmartOSC,Product Manager,6,58167000,3,432
3833,Trần Duy Hoàng,"Dương Văn An, Quận 3, TP.HCM",+842526725308,Single,Yes,Individual,1968-02-18,Male,N/A,Game Developer,5,56613000,3,404
3834,Huỳnh Đông Nghi,"Đường số 17, Quận 4, TP.HCM",+84817556785,Single,No,Individual,1967-04-27,Female,N/A,IT Support,9,49534000,3,771
3835,Trương Vĩnh Hải,"Phổ Quang, Quận Phú Nhuận, TP.HCM",+84951867529,Single,No,Individual,1965-10-10,Male,N/A,Helpdesk,3,22955000,10,412
3836,Ngô Mạnh Cường,"Lê Tư Tài, Quận Phú Nhuận, TP.HCM",+84912051797,Married,Yes,Individual,1960-12-20,Male,N/A,ERP Engineer,5,54275000,4,669
3837,Đặng Quang Hùng,"Hoàng Phan Thái, Bình Chánh, TP.HCM",+842969856902,Married,Yes,Organization,1967-06-24,Male,LG Electronics Development Vietnam (LGEDV),Tester,4,28894000,8,468
3838,Trương Bích Duyên,"Ngô Gia Tự, Quận 10, TP.HCM",+842599035423,Single,Yes,Organization,2002-03-19,Female,"Niteco Vietnam Co., Ltd",Designer,1,12012000,5,364
3839,Phan Gia Vinh,"Xuân Thới Sơn 21, Hóc Môn, TP.HCM",+842975720885,Married,Yes,Organization,1994-11-30,Male,Home Credit Vietnam,IT Support,6,38054000,0,505
3840,Võ Xuân Hoa,"Đường số 49, Quận 7, TP.HCM",+842906005428,Married,Yes,Organization,1973-11-06,Female,LG Electronics Development Vietnam (LGEDV),Designer,6,51839000,4,715
3841,Trương Quỳnh Giao,"Lê Hồng Phong, Quận 5, TP.HCM",+84902623368,Married,Yes,Organization,1972-01-02,Female,FPT IS,Mobile Developer,10,71531000,4,658
3842,Hoàng Linh Duyên,"Phạm Đình Hổ, Quận 6, TP.HCM",+842998634664,Married,Yes,Individual,1963-10-05,Female,N/A,DevSecOps Engineer,1,13074000,5,704
3843,Nguyễn Ðức Quảng,"Lê Tuấn Mậu, Quận 6, TP.HCM",+842916365516,Married,Yes,Organization,1982-02-18,Male,Bosch Global Software Technologies Company Limited,Mobile Developer,1,14288000,8,472
3844,Nguyễn Hoài Phong,"Hồng Lĩnh, Quận 10, TP.HCM",+84999996646,Single,No,Individual,1953-11-27,Male,N/A,ERP ConsultantSolution Architect,7,66040000,10,584
3845,Võ Như Thảo,"Trần Văn Mười, Hóc Môn, TP.HCM",+84898461663,Single,No,Individual,2003-10-02,Female,N/A,Tester,1,12526000,8,792
3846,Đỗ Trọng Nhân,"Phú Thọ, Quận 11, TP.HCM",+84514130443,Married,Yes,Organization,1958-06-03,Male,Hybrid Technologies,ERP ConsultantSolution Architect,7,53560000,10,734
3847,Đoàn Hữu Minh,"Phú Giáo, Quận 5, TP.HCM",+84997771134,Single,Yes,Individual,1994-01-08,Male,N/A,IT Manager,8,62474000,6,761
3848,Ngô Thùy Dung,"Đường số 22, Thành phố Thủ Đức, TP.HCM",+842963518399,Married,Yes,Individual,1985-02-22,Female,N/A,Data Engineer,7,30989000,1,461
3849,Lê Ngọc Hiển,"Nguyễn Văn Lượng, Quận 10, TP.HCM",+84824667427,Single,No,Organization,2002-12-10,Male,GeoComply (GeoTech Hub Vietnam),Tech Lead,1,11456000,7,567
3850,Ngô Quốc Hòa,"Trung Lân 1, Hóc Môn, TP.HCM",+84559896757,Married,Yes,Individual,1966-01-24,Male,N/A,Business Analyst,5,40383000,0,534
3851,Phạm Hương Tiên,"Đặng Văn Ngữ, Quận Phú Nhuận, TP.HCM",+84997449639,Single,Yes,Individual,1962-09-08,Female,N/A,System Admin,4,33770000,0,341
3852,Vũ Gia Hòa,"Gò Dầu, Quận Tân Phú, TP.HCM",+84980903576,Married,Yes,Organization,1960-03-10,Male,GeoComply (GeoTech Hub Vietnam),Data Engineer,1,14644000,10,581
3853,Dương Tiến Dũng,"Quang Trung, Hóc Môn, TP.HCM",+842903261591,Married,Yes,Organization,1975-10-09,Male,LG Electronics Development Vietnam (LGEDV),Full-stack Developer,0,4923000,8,701
3854,Hoàng Diệu Huyền,"Nguyễn An Ninh, Quận 1, TP.HCM",+84817522784,Married,Yes,Individual,2005-12-10,Female,N/A,Helpdesk,0,4254000,10,589
3855,Lý Minh Phượng,"Hồng Bàng, Quận 10, TP.HCM",+84947334282,Married,Yes,Organization,1970-08-09,Female,Employment Hero,Business Analyst,0,3269000,0,736
3856,Trương Thái Duy,"Trần Phú Cương, Quận Gò Vấp, TP.HCM",+842900529800,Married,Yes,Organization,1975-04-16,Male,VNG Corporation,Data Analyst,6,32834000,7,576
3857,Huỳnh Phi Hải,"Đường số 44, Quận 6, TP.HCM",+842996488948,Single,Yes,Individual,1976-05-26,Male,N/A,Blockchain Engineer,10,59895000,8,516
3858,Dương Linh Trang,"Nguyễn Văn Trỗi, Quận Phú Nhuận, TP.HCM",+842606863471,Married,Yes,Individual,1965-11-19,Female,N/A,Game Developer,8,44639000,6,470
3859,Đỗ Thy Trúc,"Đường số 120, Quận 9, TP.HCM",+842910976832,Married,Yes,Individual,1993-04-21,Female,N/A,Business Analyst,10,46083000,1,666
3860,Dương Quang Xuân,"Xóm Đất, Quận 11, TP.HCM",+84559187420,Married,Yes,Organization,1987-05-21,Male,VNG Corporation,DevSecOps Engineer,1,10021000,9,750
3861,Huỳnh Ðan Quỳnh,"Đường số 8, Quận Bình Thạnh, TP.HCM",+842946807664,Single,Yes,Organization,1965-12-08,Female,Zuhlke Engineering Vietnam,System Engineer,10,54469000,2,331
3862,Hoàng Hải Duyên,"Cá Lăng, Huyện Củ Chi, TP.HCM",+84567241050,Married,Yes,Organization,1995-04-26,Female,Absolute Software (Vietnam) Ltd,Blockchain Engineer,4,31589000,8,541
3863,Đoàn Bạch Liên,"Alexandre de Rhodes, Quận 1, TP.HCM",+84957357821,Single,Yes,Individual,1984-04-08,Female,N/A,Product Owner,8,55481000,7,454
3864,Trần Nhã Trang,"Tân Hóa, Quận 6, TP.HCM",+84910788609,Single,No,Organization,1975-12-11,Female,"Niteco Vietnam Co., Ltd",System Engineer,3,27016000,3,488
3865,Vũ Trường Kỳ,"Đông Hưng Thuận 3, Quận 12, TP.HCM",+842921455166,Single,Yes,Organization,1964-10-20,Male,"Niteco Vietnam Co., Ltd",IT Manager,10,58093000,3,563
3866,Lý Tuyết Hồng,"Xuân Thủy, Quận 2, TP.HCM",+842726067418,Single,Yes,Organization,1978-04-16,Female,LG Electronics Development Vietnam (LGEDV),Embedded Engineer,6,57589000,0,413
3867,Lý Kim Sa,"EverRich, Quận 11, TP.HCM",+84997360047,Married,Yes,Individual,1955-01-05,Female,N/A,Data Engineer,9,69517000,3,538
3868,Hoàng Hồng Lĩnh,"Tháp Mười, Quận 6, TP.HCM",+842998386399,Married,Yes,Organization,1961-06-20,Male,NAB Innovation Centre Vietnam,Product Manager,5,65034000,8,344
3869,Bùi Hải Hà,"Đường số 53, Quận Gò Vấp, TP.HCM",+842751364610,Married,Yes,Organization,1958-10-13,Male,SmartOSC,Product Manager,6,32502000,2,575
3870,Võ Quốc Hoàng,"Đường số 24, Quận Gò Vấp, TP.HCM",+84899040904,Married,Yes,Individual,1983-11-07,Male,N/A,Data Engineer,0,3976000,1,736
3871,Bùi Bảo Lâm,"Đường số 3, Thành phố Thủ Đức, TP.HCM",+842997810595,Single,No,Organization,1982-04-07,Male,Home Credit Vietnam,Full-stack Developer,9,54980000,6,365
3872,Lý Trường Nhân,"Đường số 33, Quận 4, TP.HCM",+84814632171,Married,Yes,Individual,1987-06-15,Male,N/A,Cloud Engineer,3,23786000,7,799
3873,Phạm Vân Nhi,"Châu Thới, Quận 10, TP.HCM",+842628695045,Single,Yes,Organization,1989-04-07,Female,Home Credit Vietnam,Database Engineer,1,10992000,2,829
3874,Dương Tường Vi,"Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, TP.HCM",+84829047420,Single,Yes,Individual,1980-06-30,Female,N/A,System Engineer,2,16733000,7,697
3875,Trần Ðông Sơn,"Đường số 20, Thành phố Thủ Đức, TP.HCM",+842485907899,Married,Yes,Organization,1973-04-28,Male,NFQ Asia,System Admin,10,46516000,9,497
3876,Võ Ðình Chiểu,"Nghĩa Hưng, Quận Tân Bình, TP.HCM",+842729991751,Married,Yes,Individual,1990-10-14,Male,N/A,Database Engineer,5,64702000,0,507
3877,Phan Diệu Thúy,"Dân Chủ, Quận Tân Phú, TP.HCM",+842904321604,Single,No,Organization,2001-09-05,Female,Absolute Software (Vietnam) Ltd,Designer,4,39750000,2,750
3878,Lê Thất Dũng,"Hồ Văn Tắng, Huyện Củ Chi, TP.HCM",+842961451718,Married,Yes,Individual,1991-06-17,Male,N/A,Business Intelligence AnalystData Scientist,8,36998000,3,415
3879,Phan Gia Lập,"Bình Tiên, Quận 6, TP.HCM",+84768662887,Married,Yes,Organization,1991-03-31,Male,Hybrid Technologies,Full-stack Developer,0,4216000,5,761
3880,Hoàng Anh Việt,"Đường số 5E, Quận Bình Tân, TP.HCM",+842626976780,Married,Yes,Organization,1968-01-18,Male,Hybrid Technologies,Back-end Developer,1,10425000,3,685
3881,Hoàng Thanh Phi,"Đường số 2, Quận Bình Thạnh, TP.HCM",+842697627473,Married,Yes,Individual,1986-05-17,Male,N/A,Front-end Developer,6,40547000,1,785
3882,Phan Tú Quyên,"Đường số 40, Huyện Củ Chi, TP.HCM",+842755107910,Married,Yes,Individual,1996-04-16,Female,N/A,IT Manager,1,30826000,10,666
3883,Dương Tuấn Khanh,"Hoàng Dư Khương, Quận 10, TP.HCM",+84945485093,Single,No,Individual,1979-05-23,Male,N/A,Embedded Engineer,0,3537000,10,374
3884,Hoàng Hồng Thủy,"Đường số 6, Quận Bình Thạnh, TP.HCM",+842994080120,Single,No,Individual,1996-12-13,Female,N/A,System Admin,6,31758000,7,409
3885,Phan Thời Nhiệm,"Đường số 61, Quận 3, TP.HCM",+84360455586,Married,Yes,Individual,1975-12-16,Male,N/A,Database Engineer,2,19233000,7,779
3886,Đỗ Thành Phương,"Tỉnh lộ 9, Huyện Củ Chi, TP.HCM",+842743933807,Married,Yes,Organization,1975-04-16,Male,Absolute Software (Vietnam) Ltd,Tech Lead,3,29675000,5,647
3887,Đặng Xuân Minh,"Nguyễn Quý Cảnh, Quận 3, TP.HCM",+84768095709,Married,Yes,Individual,1989-07-10,Male,N/A,IT Consultant,0,3552000,4,315
3888,Bùi Cảnh Tuấn,"Tân Khai, Quận 11, TP.HCM",+84999704708,Married,Yes,Individual,1997-05-02,Male,N/A,Tech Lead,7,55820000,9,585
3889,Đoàn Minh Tiến,"Cầu Kinh, Quận Bình Tân, TP.HCM",+842971928373,Single,No,Individual,1961-11-09,Male,N/A,ERP ConsultantSolution Architect,7,40268000,10,740
3890,Vũ Ngọc Thi,"Nguyễn Văn Xơ, Huyện Củ Chi, TP.HCM",+84897876816,Married,Yes,Organization,1983-01-03,Female,SmartOSC,Database Engineer,9,47428000,7,390
3891,Võ Chí Thanh,"Nguyễn Kiệm, Quận Bình Thạnh, TP.HCM",+84998713486,Married,Yes,Organization,1997-10-06,Male,NFQ Asia,IT Support,6,55320000,1,320
3892,Nguyễn Nam Sơn,"Đường số 3, Quận 4, TP.HCM",+84986114635,Single,No,Organization,1970-03-31,Male,LG Electronics Development Vietnam (LGEDV),Product Owner,0,4836000,1,718
3893,Phan Thụy Du,"Hoàng Diệu, Quận Phú Nhuận, TP.HCM",+84762037938,Single,No,Organization,1965-05-03,Female,Tyme,Data Engineer,10,58912000,7,748
3894,Nguyễn Hoàng Ngôn,"Đinh Chương Dương, Huyện Củ Chi, TP.HCM",+842778787418,Married,Yes,Organization,1979-08-24,Male,Employment Hero,Product Owner,1,13785000,0,337
3895,Bùi Tú Trinh,"Đinh Chương Dương, Huyện Củ Chi, TP.HCM",+84994781814,Married,Yes,Organization,1984-07-14,Female,NAB Innovation Centre Vietnam,Cloud Engineer,3,27476000,2,592
3896,Hồ Thuận Toàn,"Đường 26 Tháng 3, Quận Gò Vấp, TP.HCM",+842928067014,Single,Yes,Organization,1991-08-15,Male,NFQ Asia,ERP ConsultantSolution Architect,0,24841000,9,452
3897,Nguyễn Hồng Phúc,"Đường số 43, Thành phố Thủ Đức, TP.HCM",+842724281896,Married,Yes,Organization,1971-10-24,Female,Trusting Social,Designer,5,49287000,4,762
3898,Phạm Quang Thịnh,"Đại lộ 3, Quận 9, TP.HCM",+842968062480,Married,Yes,Individual,1981-11-02,Male,N/A,ERP Engineer,4,36102000,7,660
3899,Hồ Diễm Liên,"Tân Sơn Hòa, Quận Tân Bình, TP.HCM",+84582549246,Single,No,Organization,1970-08-22,Female,LG Electronics Development Vietnam (LGEDV),AI Engineer,3,21529000,5,782
3900,Huỳnh Hồng Lĩnh,"Phước Hưng, Quận 5, TP.HCM",+84993948340,Married,Yes,Organization,1987-07-01,Male,GeoComply (GeoTech Hub Vietnam),Mobile Developer,7,52439000,8,434
3901,Vũ Ðức Sinh,"Nguyễn Cửu Vân, Quận Bình Thạnh, TP.HCM",+842625059795,Single,No,Organization,1961-01-17,Male,Employment Hero,Cloud Engineer,5,64591000,2,473
3902,Võ Linh Phượng,"Thích Quảng Đức, Quận Phú Nhuận, TP.HCM",+842618601130,Married,Yes,Individual,1965-11-25,Female,N/A,ERP ConsultantSolution Architect,6,45808000,4,783
3903,Trương Phương Triều,"Nguyễn Duy Trinh, Quận 3, TP.HCM",+842968744255,Married,Yes,Organization,1990-02-07,Male,Zuhlke Engineering Vietnam,Embedded Engineer,3,30374000,2,693
3904,Trương Hữu Canh,"Sương Nguyệt Ánh, Quận 1, TP.HCM",+84994036015,Single,No,Organization,1955-04-18,Male,NFQ Asia,DevSecOps Engineer,6,50487000,1,738
3905,Bùi Anh Việt,"Đường số 4B, Bình Chánh, TP.HCM",+84392094036,Married,Yes,Individual,1983-03-12,Male,N/A,DevSecOps Engineer,3,25735000,8,755
3906,Lý Thanh Hoa,"Vạn Kiếp, Quận Bình Thạnh, TP.HCM",+84559654612,Married,Yes,Organization,1966-12-14,Female,Tyme,Project Leader,8,33932000,1,694
3907,Đặng Diệu Loan,"Ấp Thông Nhất 2 - Nhị Tân 1, Hóc Môn, TP.HCM",+842925432485,Married,Yes,Organization,1964-03-11,Female,Bosch Global Software Technologies Company Limited,Business Intelligence AnalystData Scientist,0,3122000,9,637
3908,Hồ Hữu Thực,"Xuân Thủy, Quận 2, TP.HCM",+84927333534,Married,Yes,Organization,1972-03-19,Male,FPT IS,AI Engineer,6,61147000,4,339
3909,Đỗ Tuấn Việt,"Xuân Thới Thượng 9, Hóc Môn, TP.HCM",+842943649192,Single,No,Organization,1965-01-03,Male,Bosch Global Software Technologies Company Limited,ERP Engineer,4,39729000,8,835
3910,Lê Gia Cẩn,"Gia Phú, Quận 5, TP.HCM",+842973550353,Married,Yes,Individual,1984-11-07,Male,N/A,Back-end Developer,6,59878000,9,562
3911,Võ Khánh Huyền,"Hàm Nghi, Quận 1, TP.HCM",+842524298246,Married,Yes,Organization,1965-12-02,Female,SmartOSC,IT Manager,2,39292000,9,835
3912,Đặng Kim Trang,"Đường số 17, Quận 4, TP.HCM",+84842199598,Married,Yes,Organization,1983-06-14,Female,Tyme,Product Manager,3,24606000,8,607
3913,Hoàng Bích Hậu,"Trần Nhân Tôn, Quận 5, TP.HCM",+842949989676,Married,Yes,Individual,1975-09-20,Female,N/A,Data Analyst,4,32273000,7,841
3914,Bùi Thế Vinh,"2 Đường số 25, Quận 4, TP.HCM",+84896978142,Married,Yes,Individual,1970-08-16,Male,N/A,IT Consultant,6,43535000,2,550
3915,Đoàn Minh Nhật,"Phạm Vấn, Quận Tân Phú, TP.HCM",+842554840284,Married,Yes,Individual,1968-06-18,Male,N/A,QA-QC,2,16452000,10,387
3916,Đặng Xuân Tường,"Đường số 32, Quận Bình Tân, TP.HCM",+84958198482,Married,Yes,Individual,1954-12-10,Male,N/A,Data Analyst,0,3911000,1,429
3917,Nguyễn Huyền Thoại,"Trương Thị Kiện, Huyện Củ Chi, TP.HCM",+842709807143,Married,Yes,Individual,2001-10-26,Female,N/A,IT Consultant,1,11373000,4,703
3918,Trần Kim Duyên,"Đường số 44, Quận 2, TP.HCM",+842965047972,Single,No,Organization,1984-05-16,Female,NAB Innovation Centre Vietnam,Front-end Developer,0,3793000,5,510
3919,Lê Thất Thọ,"Thoại Ngọc Hầu, Quận Bình Tân, TP.HCM",+842905513987,Married,Yes,Organization,1995-11-30,Male,"Niteco Vietnam Co., Ltd",DevOps,10,48895000,3,357
3920,Huỳnh Vinh Diệu,"Đường số 17A, Quận 3, TP.HCM",+84856299057,Single,No,Individual,1963-03-04,Female,N/A,Mobile Developer,8,62144000,8,461
3921,Lý Trọng Hiếu,"Gò Dưa, Thành phố Thủ Đức, TP.HCM",+84368620000,Single,Yes,Organization,1967-10-11,Male,Trusting Social,Front-end Developer,7,52498000,4,784
3922,Dương Thiên Lạc,"Lý Thường Kiệt, Quận 5, TP.HCM",+842919891916,Single,No,Individual,1982-08-11,Male,N/A,Business Intelligence AnalystData Scientist,7,45525000,8,805
3923,Đoàn Ngọc Sương,"Lê Liễu, Quận Tân Phú, TP.HCM",+84522552592,Married,Yes,Organization,2003-10-24,Female,Bosch Global Software Technologies Company Limited,Mobile Developer,0,4696000,6,394
3924,Ngô Hữu Khoát,"Trần Não, Quận 2, TP.HCM",+84914626995,Single,No,Organization,1967-09-30,Male,SmartOSC,Business Analyst,4,21920000,2,361
3925,Dương Thái Chi,"Nguyễn Thị Định, Quận 2, TP.HCM",+842637647487,Single,Yes,Organization,1977-07-14,Female,Home Credit Vietnam,Project Leader,6,30583000,1,548
3926,Lê Xuân Thủy,"Ngô Quyền, Quận 11, TP.HCM",+842948129391,Single,Yes,Individual,1988-08-06,Female,N/A,ERP ConsultantSolution Architect,9,59942000,9,415
3927,Ngô Phú Thời,"Phan Xích Long, Quận Phú Nhuận, TP.HCM",+84897245363,Married,Yes,Individual,1995-08-23,Male,N/A,AI Engineer,6,47025000,3,327
3928,Dương Hoài Trung,"Lê Minh Nhựt, Huyện Củ Chi, TP.HCM",+84982369635,Single,No,Individual,1965-03-29,Male,N/A,Business Analyst,7,57309000,5,416
3929,Đỗ Minh Quang,"Thiên Phước, Quận Tân Bình, TP.HCM",+842919776808,Married,Yes,Individual,1977-10-06,Male,N/A,IT Support,0,3938000,2,397
3930,Lê Minh Hoàng,"Trương Gia Mô, Quận 2, TP.HCM",+842962766837,Married,Yes,Organization,2004-02-08,Male,Bosch Global Software Technologies Company Limited,Product Owner,2,16594000,7,824
3931,Lê Kiến Văn,"Liên Ấp 3-4-5, Bình Chánh, TP.HCM",+842714425720,Single,No,Individual,1993-08-26,Male,N/A,Cloud Engineer,0,4144000,2,591
3932,Đặng Tuyết Trầm,"Vạn Phát Hưng, Nhà Bè, TP.HCM",+84896468560,Married,Yes,Organization,1961-05-09,Female,Zuhlke Engineering Vietnam,Game Developer,1,10487000,10,576
3933,Đoàn Khắc Vũ,"Nguyễn Thị Huỳnh, Quận Phú Nhuận, TP.HCM",+84897966077,Married,Yes,Individual,1960-10-01,Male,N/A,QA-QC,0,3426000,1,689
3934,Trương Trung Kiên,"Nội Bộ, Quận Phú Nhuận, TP.HCM",+84981388697,Married,Yes,Individual,1992-11-15,Male,N/A,DevSecOps Engineer,5,53669000,6,631
3935,Lê Thiện Sinh,"Đường số 19, Quận Tân Phú, TP.HCM",+842758190048,Married,Yes,Organization,1995-11-19,Male,LG Electronics Development Vietnam (LGEDV),Data Engineer,0,3556000,10,433
3936,Ngô Hữu Thiện,"Nguyễn An Khương, Quận 5, TP.HCM",+842693345202,Single,Yes,Individual,1992-05-16,Male,N/A,System Engineer,1,11400000,9,810
3937,Vũ Phú Thịnh,"Lò Gốm, Quận 6, TP.HCM",+842607395742,Married,Yes,Organization,1996-05-20,Male,Trusting Social,Product Owner,3,30451000,2,715
3938,Phạm Kiên Trung,"Châu Thới, Quận 10, TP.HCM",+842612406564,Married,Yes,Individual,1983-04-19,Male,N/A,ERP Engineer,3,30922000,10,732
3939,Lý Vân Thanh,"Bông Sen, Quận Bình Tân, TP.HCM",+842924357076,Single,No,Organization,1975-11-11,Female,Trusting Social,Tester,0,4171000,7,455
3940,Nguyễn Ngọc San,"Long Thới, Nhà Bè, TP.HCM",+84935491853,Married,Yes,Organization,1981-05-26,Female,GeoComply (GeoTech Hub Vietnam),Product Owner,6,49493000,4,463
